,Team,P,W,D,L,GF,GA,GD,Season,League,PTS,PPG
823,Getafe,38,12,8,18,49,60,-11,2010,Spain-La-Liga,44,1.1578947368421053
824,Mallorca,38,12,8,18,41,56,-15,2010,Spain-La-Liga,44,1.1578947368421053
825,Deportivo La Coruna,38,10,13,15,31,47,-16,2010,Spain-La-Liga,43,1.131578947368421
826,Hercules,38,9,8,21,36,60,-24,2010,Spain-La-Liga,35,0.9210526315789473
827,Almeria,38,6,12,20,36,70,-34,2010,Spain-La-Liga,30,0.7894736842105263
828,Paris Saint-Germain,38,27,8,3,84,23,61,2013,France-Ligue-1,89,2.3421052631578947
829,Monaco,38,23,11,4,63,31,32,2013,France-Ligue-1,80,2.1052631578947367
830,Lille,38,20,11,7,46,26,20,2013,France-Ligue-1,71,1.868421052631579
831,Saint-Etienne,38,20,9,9,56,34,22,2013,France-Ligue-1,69,1.8157894736842106
832,Lyon,38,17,10,11,56,44,12,2013,France-Ligue-1,61,1.605263157894737
833,Marseille,38,16,12,10,53,40,13,2013,France-Ligue-1,60,1.5789473684210527
834,Bordeaux,38,13,14,11,49,43,6,2013,France-Ligue-1,53,1.394736842105263
835,Lorient,38,13,10,15,48,53,-5,2013,France-Ligue-1,49,1.2894736842105263
836,Toulouse,38,12,13,13,46,53,-7,2013,France-Ligue-1,49,1.2894736842105263
837,SC Bastia,38,12,11,15,42,56,-14,2013,France-Ligue-1,47,1.236842105263158
838,Reims,38,12,12,14,44,52,-8,2013,France-Ligue-1,48,1.263157894736842
839,Rennes,38,11,13,14,47,45,2,2013,France-Ligue-1,46,1.2105263157894737
840,Nantes,38,12,11,15,38,43,-5,2013,France-Ligue-1,47,1.236842105263158
841,Thonon Evian Grand Geneve,38,11,11,16,39,51,-12,2013,France-Ligue-1,44,1.1578947368421053
842,Montpellier,38,8,18,12,45,53,-8,2013,France-Ligue-1,42,1.105263157894737
843,Guingamp,38,11,9,18,34,42,-8,2013,France-Ligue-1,42,1.105263157894737
844,Nice,38,12,6,20,30,44,-14,2013,France-Ligue-1,42,1.105263157894737
845,Sochaux,38,10,10,18,37,61,-24,2013,France-Ligue-1,40,1.0526315789473684
846,Valenciennes,38,7,8,23,37,65,-28,2013,France-Ligue-1,29,0.7631578947368421
847,AC Ajaccio,38,4,11,23,37,72,-35,2013,France-Ligue-1,23,0.6052631578947368
848,Paris Saint-Germain,38,25,8,5,69,23,46,2012,France-Ligue-1,83,2.1842105263157894
849,Marseille,38,21,8,9,42,36,6,2012,France-Ligue-1,71,1.868421052631579
850,Lyon,38,19,10,9,61,38,23,2012,France-Ligue-1,67,1.763157894736842
851,Nice,38,18,10,10,57,46,11,2012,France-Ligue-1,64,1.6842105263157894
852,Saint-Etienne,38,16,15,7,60,32,28,2012,France-Ligue-1,63,1.6578947368421053
853,Lille,38,16,14,8,59,40,19,2012,France-Ligue-1,62,1.631578947368421
854,Bordeaux,38,13,16,9,40,34,6,2012,France-Ligue-1,55,1.4473684210526316
855,Lorient,38,14,11,13,57,58,-1,2012,France-Ligue-1,53,1.394736842105263
856,Montpellier,38,15,7,16,54,51,3,2012,France-Ligue-1,52,1.368421052631579
857,Toulouse,38,13,12,13,49,47,2,2012,France-Ligue-1,51,1.3421052631578947
858,Valenciennes,38,12,12,14,49,53,-4,2012,France-Ligue-1,48,1.263157894736842
859,SC Bastia,38,13,8,17,50,66,-16,2012,France-Ligue-1,47,1.236842105263158
860,Rennes,38,13,7,18,48,59,-11,2012,France-Ligue-1,46,1.2105263157894737
861,Reims,38,10,13,15,33,42,-9,2012,France-Ligue-1,43,1.131578947368421
862,Sochaux,38,10,11,17,41,57,-16,2012,France-Ligue-1,41,1.0789473684210527
863,Thonon Evian Grand Geneve,38,10,10,18,46,53,-7,2012,France-Ligue-1,40,1.0526315789473684
864,AC Ajaccio,38,9,15,14,39,51,-12,2012,France-Ligue-1,42,1.105263157894737
865,Nancy,38,9,11,18,38,58,-20,2012,France-Ligue-1,38,1.0
866,Troyes,38,8,13,17,43,61,-18,2012,France-Ligue-1,37,0.9736842105263158
867,Brest,38,8,5,25,32,62,-30,2012,France-Ligue-1,29,0.7631578947368421
868,Montpellier,38,25,7,6,68,34,34,2011,France-Ligue-1,82,2.1578947368421053
869,Paris Saint-Germain,38,23,10,5,75,41,34,2011,France-Ligue-1,79,2.0789473684210527
870,Lille,38,21,11,6,72,39,33,2011,France-Ligue-1,74,1.9473684210526316
871,Lyon,38,19,7,12,64,51,13,2011,France-Ligue-1,64,1.6842105263157894
872,Bordeaux,38,16,13,9,53,41,12,2011,France-Ligue-1,61,1.605263157894737
873,Rennes,38,17,9,12,53,44,9,2011,France-Ligue-1,60,1.5789473684210527
874,Saint-Etienne,38,16,9,13,49,45,4,2011,France-Ligue-1,57,1.5
875,Toulouse,38,15,11,12,37,34,3,2011,France-Ligue-1,56,1.4736842105263157
876,Thonon Evian Grand Geneve,38,13,11,14,54,55,-1,2011,France-Ligue-1,50,1.3157894736842106
877,Marseille,38,12,12,14,45,41,4,2011,France-Ligue-1,48,1.263157894736842
878,Nancy,38,11,12,15,38,48,-10,2011,France-Ligue-1,45,1.1842105263157894
879,Valenciennes,38,12,7,19,40,50,-10,2011,France-Ligue-1,43,1.131578947368421
880,Nice,38,10,12,16,39,46,-7,2011,France-Ligue-1,42,1.105263157894737
881,Sochaux,38,11,9,18,40,60,-20,2011,France-Ligue-1,42,1.105263157894737
882,Brest,38,8,17,13,31,38,-7,2011,France-Ligue-1,41,1.0789473684210527
883,AC Ajaccio,38,9,14,15,40,61,-21,2011,France-Ligue-1,41,1.0789473684210527
884,Lorient,38,9,12,17,35,49,-14,2011,France-Ligue-1,39,1.0263157894736843
885,Caen,38,9,11,18,39,59,-20,2011,France-Ligue-1,38,1.0
886,Dijon,38,9,9,20,38,63,-25,2011,France-Ligue-1,36,0.9473684210526315
887,Auxerre,38,7,13,18,46,57,-11,2011,France-Ligue-1,34,0.8947368421052632
888,Lille,38,21,13,4,68,36,32,2010,France-Ligue-1,76,2.0
889,Marseille,38,18,14,6,62,39,23,2010,France-Ligue-1,68,1.7894736842105263
890,Lyon,38,17,13,8,61,40,21,2010,France-Ligue-1,64,1.6842105263157894
891,Paris Saint-Germain,38,15,15,8,56,41,15,2010,France-Ligue-1,60,1.5789473684210527
892,Sochaux,38,17,7,14,60,43,17,2010,France-Ligue-1,58,1.5263157894736843
893,Rennes,38,15,11,12,38,35,3,2010,France-Ligue-1,56,1.4736842105263157
894,Bordeaux,38,12,15,11,43,42,1,2010,France-Ligue-1,51,1.3421052631578947
895,Toulouse,38,14,8,16,38,36,2,2010,France-Ligue-1,50,1.3157894736842106
896,Auxerre,38,10,19,9,45,41,4,2010,France-Ligue-1,49,1.2894736842105263
897,Saint-Etienne,38,12,13,13,46,47,-1,2010,France-Ligue-1,49,1.2894736842105263
898,Lorient,38,12,13,13,46,48,-2,2010,France-Ligue-1,49,1.2894736842105263
899,Valenciennes,38,10,18,10,45,41,4,2010,France-Ligue-1,48,1.263157894736842
900,Nancy,38,13,9,16,43,48,-5,2010,France-Ligue-1,48,1.263157894736842
901,Montpellier,38,12,11,15,32,43,-11,2010,France-Ligue-1,47,1.236842105263158
902,Caen,38,11,13,14,46,51,-5,2010,France-Ligue-1,46,1.2105263157894737
903,Brest,38,11,13,14,36,43,-7,2010,France-Ligue-1,46,1.2105263157894737
904,Nice,38,11,13,14,33,48,-15,2010,France-Ligue-1,46,1.2105263157894737
905,Monaco,38,9,17,12,36,40,-4,2010,France-Ligue-1,44,1.1578947368421053
906,Lens,38,7,14,17,35,58,-23,2010,France-Ligue-1,35,0.9210526315789473
907,Arles-Avignon,38,3,11,24,21,70,-49,2010,France-Ligue-1,20,0.5263157894736842
908,Bayern Munich,34,29,3,2,94,23,71,2013,Germany-Bundesliga,90,2.6470588235294117
909,Borussia Dortmund,34,22,5,7,80,38,42,2013,Germany-Bundesliga,71,2.088235294117647
910,Schalke 04,34,19,7,8,63,43,20,2013,Germany-Bundesliga,64,1.8823529411764706
911,Bayer Leverkusen,34,19,4,11,60,41,19,2013,Germany-Bundesliga,61,1.7941176470588236
912,Wolfsburg,34,18,6,10,63,50,13,2013,Germany-Bundesliga,60,1.7647058823529411
913,Borussia M.Gladbach,34,16,7,11,59,43,16,2013,Germany-Bundesliga,55,1.6176470588235294
914,Mainz 05,34,16,5,13,52,54,-2,2013,Germany-Bundesliga,53,1.5588235294117647
915,Augsburg,34,15,7,12,47,47,0,2013,Germany-Bundesliga,52,1.5294117647058822
916,Hoffenheim,34,11,11,12,72,70,2,2013,Germany-Bundesliga,44,1.2941176470588236
917,Hannover 96,34,12,6,16,46,59,-13,2013,Germany-Bundesliga,42,1.2352941176470589
918,Hertha Berlin,34,11,8,15,40,48,-8,2013,Germany-Bundesliga,41,1.2058823529411764
919,Werder Bremen,34,10,9,15,42,66,-24,2013,Germany-Bundesliga,39,1.1470588235294117
920,Eintracht Frankfurt,34,9,9,16,40,57,-17,2013,Germany-Bundesliga,36,1.0588235294117647
921,Freiburg,34,9,9,16,43,61,-18,2013,Germany-Bundesliga,36,1.0588235294117647
922,VfB Stuttgart,34,8,8,18,49,62,-13,2013,Germany-Bundesliga,32,0.9411764705882353
923,Hamburger SV,34,7,6,21,51,75,-24,2013,Germany-Bundesliga,27,0.7941176470588235
924,Nuernberg,34,5,11,18,37,70,-33,2013,Germany-Bundesliga,26,0.7647058823529411
925,Eintracht Braunschweig,34,6,7,21,29,60,-31,2013,Germany-Bundesliga,25,0.7352941176470589
926,Bayern Munich,34,29,4,1,98,18,80,2012,Germany-Bundesliga,91,2.676470588235294
927,Borussia Dortmund,34,19,9,6,81,42,39,2012,Germany-Bundesliga,66,1.9411764705882353
928,Bayer Leverkusen,34,19,8,7,65,39,26,2012,Germany-Bundesliga,65,1.911764705882353
929,Schalke 04,34,16,7,11,58,50,8,2012,Germany-Bundesliga,55,1.6176470588235294
930,Freiburg,34,14,9,11,45,40,5,2012,Germany-Bundesliga,51,1.5
931,Eintracht Frankfurt,34,14,9,11,49,46,3,2012,Germany-Bundesliga,51,1.5
932,Hamburger SV,34,14,6,14,42,53,-11,2012,Germany-Bundesliga,48,1.411764705882353
933,Borussia M.Gladbach,34,12,11,11,45,49,-4,2012,Germany-Bundesliga,47,1.3823529411764706
934,Hannover 96,34,13,6,15,60,62,-2,2012,Germany-Bundesliga,45,1.3235294117647058
935,Nuernberg,34,11,11,12,39,47,-8,2012,Germany-Bundesliga,44,1.2941176470588236
936,Wolfsburg,34,10,13,11,47,52,-5,2012,Germany-Bundesliga,43,1.2647058823529411
937,VfB Stuttgart,34,12,7,15,37,55,-18,2012,Germany-Bundesliga,43,1.2647058823529411
938,Mainz 05,34,10,12,12,42,44,-2,2012,Germany-Bundesliga,42,1.2352941176470589
939,Werder Bremen,34,8,10,16,50,66,-16,2012,Germany-Bundesliga,34,1.0
940,Augsburg,34,8,9,17,33,51,-18,2012,Germany-Bundesliga,33,0.9705882352941176
941,Hoffenheim,34,8,7,19,42,67,-25,2012,Germany-Bundesliga,31,0.9117647058823529
942,Fortuna Duesseldorf,34,7,9,18,39,57,-18,2012,Germany-Bundesliga,30,0.8823529411764706
943,Greuther Fuerth,34,4,9,21,26,60,-34,2012,Germany-Bundesliga,21,0.6176470588235294
944,Borussia Dortmund,34,25,6,3,80,25,55,2011,Germany-Bundesliga,81,2.3823529411764706
945,Bayern Munich,34,23,4,7,77,22,55,2011,Germany-Bundesliga,73,2.1470588235294117
946,Schalke 04,34,20,4,10,74,44,30,2011,Germany-Bundesliga,64,1.8823529411764706
947,Borussia M.Gladbach,34,17,9,8,49,24,25,2011,Germany-Bundesliga,60,1.7647058823529411
948,Bayer Leverkusen,34,15,9,10,52,44,8,2011,Germany-Bundesliga,54,1.588235294117647
949,VfB Stuttgart,34,15,8,11,63,46,17,2011,Germany-Bundesliga,53,1.5588235294117647
950,Hannover 96,34,12,12,10,41,45,-4,2011,Germany-Bundesliga,48,1.411764705882353
951,Wolfsburg,34,13,5,16,47,60,-13,2011,Germany-Bundesliga,44,1.2941176470588236
952,Werder Bremen,34,11,9,14,49,58,-9,2011,Germany-Bundesliga,42,1.2352941176470589
953,Nuernberg,34,12,6,16,38,49,-11,2011,Germany-Bundesliga,42,1.2352941176470589
954,Hoffenheim,34,10,11,13,41,47,-6,2011,Germany-Bundesliga,41,1.2058823529411764
955,Freiburg,34,10,10,14,45,61,-16,2011,Germany-Bundesliga,40,1.1764705882352942
956,Mainz 05,34,9,12,13,47,51,-4,2011,Germany-Bundesliga,39,1.1470588235294117
957,Augsburg,34,8,14,12,36,49,-13,2011,Germany-Bundesliga,38,1.1176470588235294
958,Hamburger SV,34,8,12,14,35,57,-22,2011,Germany-Bundesliga,36,1.0588235294117647
959,Hertha Berlin,34,7,10,17,38,64,-26,2011,Germany-Bundesliga,31,0.9117647058823529
960,FC Koln,34,8,6,20,39,75,-36,2011,Germany-Bundesliga,30,0.8823529411764706
961,Kaiserslautern,34,4,11,19,24,54,-30,2011,Germany-Bundesliga,23,0.6764705882352942
962,Borussia Dortmund,34,23,6,5,67,22,45,2010,Germany-Bundesliga,75,2.2058823529411766
963,Bayer Leverkusen,34,20,8,6,64,44,20,2010,Germany-Bundesliga,68,2.0
964,Bayern Munich,34,19,8,7,81,40,41,2010,Germany-Bundesliga,65,1.911764705882353
965,Hannover 96,34,19,3,12,49,45,4,2010,Germany-Bundesliga,60,1.7647058823529411
966,Mainz 05,34,18,4,12,52,39,13,2010,Germany-Bundesliga,58,1.7058823529411764
967,Nuernberg,34,13,8,13,47,45,2,2010,Germany-Bundesliga,47,1.3823529411764706
968,Kaiserslautern,34,13,7,14,48,51,-3,2010,Germany-Bundesliga,46,1.3529411764705883
969,Hamburger SV,34,12,9,13,46,52,-6,2010,Germany-Bundesliga,45,1.3235294117647058
970,Freiburg,34,13,5,16,41,50,-9,2010,Germany-Bundesliga,44,1.2941176470588236
971,FC Koln,34,13,5,16,47,62,-15,2010,Germany-Bundesliga,44,1.2941176470588236
972,Hoffenheim,34,11,10,13,50,50,0,2010,Germany-Bundesliga,43,1.2647058823529411
973,VfB Stuttgart,34,12,6,16,60,59,1,2010,Germany-Bundesliga,42,1.2352941176470589
974,Werder Bremen,34,10,11,13,47,61,-14,2010,Germany-Bundesliga,41,1.2058823529411764
975,Schalke 04,34,11,7,16,38,44,-6,2010,Germany-Bundesliga,40,1.1764705882352942
976,Wolfsburg,34,9,11,14,43,48,-5,2010,Germany-Bundesliga,38,1.1176470588235294
977,Borussia M.Gladbach,34,10,6,18,48,65,-17,2010,Germany-Bundesliga,36,1.0588235294117647
978,Eintracht Frankfurt,34,9,7,18,31,49,-18,2010,Germany-Bundesliga,34,1.0
979,St. Pauli,34,8,5,21,35,68,-33,2010,Germany-Bundesliga,29,0.8529411764705882
